Model,RMSE,MAE,R2
Lasso Regression,48712.19458825668,38019.77112602999,0.6630604767761747
Linear Regression,49033.12500520788,38226.39361740935,0.6586061362347178
Ridge Regression,50029.83361540735,39572.70604928046,0.644585876165074
Best (Tuned),51118.55691432345,41479.128673061234,0.628948889749448
Gradient Boosting,52622.66686521886,42606.63596406242,0.6067920653138628
Random Forest,54066.86791919767,43850.96023972603,0.5849131370566464
Decision Tree,60083.33574055349,47439.53884157349,0.4873928762456804
